;GO:0006284;GO:0007099;GO:0006289;GO:0002087;GO:0002244;GO:0009437;GO:0022400;GO:0045008;GO:1904219;GO:0050796;GO:0019482;GO:0048488;GO:0046341;GO:0015825;GO:0070207;GO:1902042;GO:2001180;GO:1904862;GO:2001183;GO:1904222;GO:0051260;GO:0006212;GO:0006210;GO:0006853;GO:2000809;GO:0046902;GO:0001676;GO:0001558;GO:0043484;GO:0032436;GO:0060385;GO:0043408;GO:1903421;GO:0008285;GO:1903540;GO:1903546;GO:0045665;GO:0000712;GO:0097190;GO:0042795;GO:0006661;GO:0045944;GO:0043525;GO:0006302;GO:0006665;GO:0000165;GO:0006658;GO:0071398;GO:0097104;GO:0097500;GO:0071310;GO:0097105;GO:0097746;GO:0031297;GO:0031573;GO:0032024;GO:2001222;GO:0016358;GO:0050908;GO:0045039;GO:0006672;GO:1901409;GO:0046135;GO:0001657;GO:0097119;GO:0032496;GO:0030512;GO:0018108;GO:1902474;GO:0006486;GO:0006641;GO:0045721;GO:0046777;GO:0007178;GO:0006006;GO:0043547;GO:0006368;GO:0060326;GO:0006635;GO:0032526;GO:0051289;GO:0048167;GO:2000311;GO:0031398;GO:0050911;GO:0051968;GO:0051965;GO:0019722;GO:0090305;GO:0045737;GO:0007186;GO:0032000;GO:0007187;GO:0060395;GO:0003382;GO:0042462;GO:0000422;GO:0045217;GO:0030855;GO:0033209;GO:0051056;GO:0031146;GO:0010469;GO:0050766;GO:0035589;GO:0010862;GO:0016567;GO:0035583;GO:0007271;GO:0032230;GO:1900075;GO:0032074;GO:0046037;GO:0006342;GO:0042355;GO:0006468;GO:0097151;GO:0043687;GO:1901843;GO:0099054;GO:0000122;GO:0072321;GO:0035176;GO:0006351;GO:0044267;GO:0051480;GO:0045116;GO:1902667;GO:0007166;GO:0048469;GO:0007200;GO:0048468;GO:0006873;GO:0007204;GO:0006357;GO:0006626;GO:0070098;GO:0006508;GO:2000463;GO:0070257
GO:0019482;0.35294117647058826;0.26666666666666666;0.35294117647058826;0.13333333333333333;0.15384615384615385;0.5714285714285714;0.25;0.2857142857142857;0.26666666666666666;0.3333333333333333;1.0;0.0;0.375;0.0;0.125;0.21052631578947367;0.21052631578947367;0.14285714285714285;0.21052631578947367;0.26666666666666666;0.13333333333333333;0.3333333333333333;0.4444444444444444;0.0;0.25;0.13333333333333333;0.35294117647058826;0.2857142857142857;0.25;0.2;0.2222222222222222;0.2222222222222222;0.26666666666666666;0.2857142857142857;0.0;0.0;0.11764705882352941;0.2857142857142857;0.2857142857142857;0.19047619047619047;0.35294117647058826;0.2;0.23529411764705882;0.35294117647058826;0.5333333333333333;0.2222222222222222;0.5;0.26666666666666666;0.2857142857142857;0.0;0.3076923076923077;0.2857142857142857;0.13333333333333333;0.35294117647058826;0.21052631578947367;0.3157894736842105;0.125;0.26666666666666666;0.0;0.21052631578947367;0.5;0.19047619047619047;0.47058823529411764;0.0;0.0;0.0;0.23529411764705882;0.4444444444444444;0.26666666666666666;0.5;0.375;0.2222222222222222;0.47058823529411764;0.25;0.4;0.26666666666666666;0.3333333333333333;0.2857142857142857;0.3333333333333333;0.0;0.125;0.375;0.2222222222222222;0.21052631578947367;0.0;0.23529411764705882;0.25;0.25;0.4;0.19047619047619047;0.2857142857142857;0.2222222222222222;0.26666666666666666;0.2857142857142857;0.26666666666666666;0.26666666666666666;0.4;0.2857142857142857;0.15384615384615385;0.25;0.25;0.42105263157894735;0.26666666666666666;0.23529411764705882;0.23529411764705882;0.21052631578947367;0.4444444444444444;0.1111111111111111;0.23529411764705882;0.23529411764705882;0.23529411764705882;0.25;0.42105263157894735;0.2;0.35294117647058826;0.5;0.35294117647058826;0.5;0.19047619047619047;0.3076923076923077;0.2;0.0;0.0;0.2222222222222222;0.5714285714285714;0.21052631578947367;0.4444444444444444;0.10526315789473684;0.2857142857142857;0.3333333333333333;0.26666666666666666;0.3333333333333333;0.26666666666666666;0.2;0.21052631578947367;0.0;0.25;0.5714285714285714;0.35294117647058826;0.375
GO:0048488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0
GO:0046341;0.35294117647058826;0.26666666666666666;0.35294117647058826;0.0;0.15384615384615385;0.42857142857142855;0.0;0.2857142857142857;0.0;0.0;0.375;0.0;1.0;0.0;0.125;0.0;0.0;0.14285714285714285;0.0;0.0;0.13333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0;0.13333333333333333;0.5882352941176471;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.8235294117647058;0.0;0.0;0.35294117647058826;0.6666666666666666;0.2222222222222222;0.875;0.26666666666666666;0.2857142857142857;0.0;0.3076923076923077;0.2857142857142857;0.0;0.35294117647058826;0.21052631578947367;0.0;0.0;0.26666666666666666;0.0;0.21052631578947367;0.625;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.375;0.75;0.0;0.5882352941176471;0.25;0.4;0.0;0.3333333333333333;0.2857142857142857;0.5555555555555556;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.4;0.0;0.2857142857142857;0.0;0.26666666666666666;0.2857142857142857;0.26666666666666666;0.26666666666666666;0.4;0.2857142857142857;0.15384615384615385;0.25;0.0;0.3157894736842105;0.0;0.0;0.23529411764705882;0.0;0.3333333333333333;0.0;0.23529411764705882;0.0;0.0;0.0;0.5263157894736842;0.2;0.35294117647058826;0.625;0.0;0.375;0.0;0.3076923076923077;0.0;0.0;0.0;0.3333333333333333;0.42857142857142855;0.21052631578947367;0.3333333333333333;0.0;0.2857142857142857;0.3333333333333333;0.26666666666666666;0.3333333333333333;0.26666666666666666;0.2;0.0;0.0;0.25;0.42857142857142855;0.0;0.0
GO:0015825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43478260869565216;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47619047619047616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0
GO:0070207;0.11764705882352941;0.13333333333333333;0.11764705882352941;0.0;0.15384615384615385;0.14285714285714285;0.0;0.09523809523809523;0.0;0.0;0.125;0.0;0.125;0.0;1.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.9333333333333333;0.1111111111111111;0.1111111111111111;0.0;0.0;0.13333333333333333;0.11764705882352941;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.09523809523809523;0.11764705882352941;0.0;0.0;0.11764705882352941;0.13333333333333333;0.1111111111111111;0.125;0.13333333333333333;0.14285714285714285;0.0;0.15384615384615385;0.14285714285714285;0.0;0.11764705882352941;0.10526315789473684;0.0;0.0;0.13333333333333333;0.0;0.10526315789473684;0.125;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.125;0.125;0.0;0.11764705882352941;0.125;0.0;0.0;0.1111111111111111;0.14285714285714285;0.1111111111111111;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.13333333333333333;0.0;0.14285714285714285;0.0;0.13333333333333333;0.14285714285714285;0.13333333333333333;0.13333333333333333;0.13333333333333333;0.2857142857142857;0.15384615384615385;0.125;0.0;0.10526315789473684;0.0;0.0;0.11764705882352941;0.0;0.1111111111111111;0.0;0.11764705882352941;0.0;0.0;0.0;0.10526315789473684;0.1;0.0;0.125;0.0;0.125;0.0;0.15384615384615385;0.0;0.0;0.0;0.1111111111111111;0.14285714285714285;0.10526315789473684;0.1111111111111111;0.0;0.14285714285714285;0.16666666666666666;0.13333333333333333;0.16666666666666666;0.13333333333333333;0.1;0.0;0.0;0.125;0.0;0.0;0.0
GO:1902042;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.631578947368421;0.0;0.2222222222222222;0.38095238095238093;0.21052631578947367;0.0;0.0;0.0;0.0;1.0;0.36363636363636365;0.0;0.36363636363636365;0.2222222222222222;0.0;0.0;0.0;0.0;0.3157894736842105;0.1111111111111111;0.0;0.47058823529411764;0.42105263157894735;0.34782608695652173;0.0;0.5714285714285714;0.3333333333333333;0.5882352941176471;0.0;0.0;0.4;0.0;0.47058823529411764;0.0;0.0;0.34782608695652173;0.7;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.09090909090909091;0.36363636363636365;0.10526315789473684;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.7;0.0;0.3333333333333333;0.0;0.0;0.38095238095238093;0.0;0.10526315789473684;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.5714285714285714;0.36363636363636365;0.0;0.4;0.21052631578947367;0.10526315789473684;0.0;0.3333333333333333;0.47058823529411764;0.38095238095238093;0.4444444444444444;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.631578947368421;0.0;0.6666666666666666;0.4;0.1;0.5454545454545454;0.0;0.6666666666666666;0.0;0.4;0.4;0.42105263157894735;0.0;0.08695652173913043;0.0;0.0;0.6;0.0;0.25;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.36363636363636365;0.47058823529411764;0.0;0.4444444444444444;0.0;0.2222222222222222;0.17391304347826086;0.36363636363636365;0.0;0.10526315789473684;0.0;0.6;0.3157894736842105
GO:2001180;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.3157894736842105;0.0;0.2222222222222222;0.7619047619047619;0.21052631578947367;0.0;0.0;0.0;0.0;0.36363636363636365;1.0;0.0;0.9090909090909091;0.2222222222222222;0.0;0.0;0.0;0.0;0.5263157894736842;0.1111111111111111;0.0;0.47058823529411764;0.42105263157894735;0.34782608695652173;0.0;0.38095238095238093;0.5555555555555556;0.5882352941176471;0.0;0.0;0.5;0.0;0.47058823529411764;0.0;0.0;0.34782608695652173;0.4;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.09090909090909091;0.7272727272727273;0.10526315789473684;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;0.0;0.38095238095238093;0.0;0.10526315789473684;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.38095238095238093;0.36363636363636365;0.0;0.4;0.21052631578947367;0.10526315789473684;0.0;0.3333333333333333;0.47058823529411764;0.38095238095238093;0.4444444444444444;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.42105263157894735;0.0;0.4444444444444444;0.5;0.1;0.36363636363636365;0.0;0.09523809523809523;0.0;0.4;0.4;0.42105263157894735;0.0;0.08695652173913043;0.0;0.0;0.4;0.0;0.4166666666666667;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.36363636363636365;0.47058823529411764;0.0;0.4444444444444444;0.0;0.2222222222222222;0.17391304347826086;0.36363636363636365;0.0;0.10526315789473684;0.0;0.4;0.42105263157894735
GO:1904862;0.13333333333333333;0.15384615384615385;0.13333333333333333;0.0;0.18181818181818182;0.16666666666666666;0.0;0.10526315789473684;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;1.0;0.0;0.0;0.15384615384615385;0.125;0.125;0.0;0.0;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.10526315789473684;0.13333333333333333;0.0;0.0;0.13333333333333333;0.15384615384615385;0.125;0.14285714285714285;0.15384615384615385;0.16666666666666666;0.0;0.18181818181818182;0.16666666666666666;0.0;0.13333333333333333;0.11764705882352941;0.0;0.0;0.15384615384615385;0.0;0.11764705882352941;0.14285714285714285;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.14285714285714285;0.0;0.13333333333333333;0.14285714285714285;0.0;0.0;0.125;0.16666666666666666;0.125;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;0.16666666666666666;0.0;0.15384615384615385;0.16666666666666666;0.15384615384615385;0.15384615384615385;0.15384615384615385;0.3333333333333333;0.18181818181818182;0.14285714285714285;0.0;0.11764705882352941;0.0;0.0;0.13333333333333333;0.0;0.125;0.0;0.13333333333333333;0.0;0.0;0.0;0.11764705882352941;0.1111111111111111;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.18181818181818182;0.0;0.0;0.0;0.125;0.16666666666666666;0.11764705882352941;0.125;0.0;0.16666666666666666;0.2;0.15384615384615385;0.2;0.15384615384615385;0.1111111111111111;0.0;0.0;0.14285714285714285;0.0;0.0;0.0
GO:2001183;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.3157894736842105;0.0;0.2222222222222222;0.7619047619047619;0.21052631578947367;0.0;0.0;0.0;0.0;0.36363636363636365;0.9090909090909091;0.0;1.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.5263157894736842;0.1111111111111111;0.0;0.47058823529411764;0.42105263157894735;0.34782608695652173;0.0;0.38095238095238093;0.5555555555555556;0.5882352941176471;0.0;0.0;0.5;0.0;0.47058823529411764;0.0;0.0;0.34782608695652173;0.4;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.09090909090909091;0.7272727272727273;0.10526315789473684;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;0.0;0.38095238095238093;0.0;0.10526315789473684;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.38095238095238093;0.36363636363636365;0.0;0.4;0.21052631578947367;0.10526315789473684;0.0;0.3333333333333333;0.47058823529411764;0.38095238095238093;0.4444444444444444;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.42105263157894735;0.0;0.4444444444444444;0.5;0.1;0.36363636363636365;0.0;0.09523809523809523;0.0;0.4;0.4;0.42105263157894735;0.0;0.08695652173913043;0.0;0.0;0.4;0.0;0.4166666666666667;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.36363636363636365;0.47058823529411764;0.0;0.4444444444444444;0.0;0.2222222222222222;0.17391304347826086;0.36363636363636365;0.0;0.10526315789473684;0.0;0.4;0.42105263157894735
GO:1904222;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.26666666666666666;0.0;0.8571428571428571;0.23529411764705882;0.26666666666666666;0.0;0.0;0.0;0.0;0.2222222222222222;0.2222222222222222;0.0;0.2222222222222222;1.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.14285714285714285;0.0;0.3076923076923077;0.26666666666666666;0.21052631578947367;0.0;0.23529411764705882;0.2857142857142857;0.3076923076923077;0.0;0.0;0.125;0.0;0.15384615384615385;0.0;0.0;0.21052631578947367;0.25;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.1111111111111111;0.2222222222222222;0.13333333333333333;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.25;0.0;0.2857142857142857;0.0;0.0;0.23529411764705882;0.0;0.13333333333333333;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.35294117647058826;0.2222222222222222;0.0;0.25;0.26666666666666666;0.13333333333333333;0.0;0.6;0.15384615384615385;0.23529411764705882;0.14285714285714285;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.26666666666666666;0.0;0.42857142857142855;0.25;0.125;0.2222222222222222;0.0;0.11764705882352941;0.0;0.25;0.25;0.5333333333333333;0.0;0.10526315789473684;0.0;0.0;0.25;0.0;0.4;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.1111111111111111;0.15384615384615385;0.0;0.14285714285714285;0.0;0.2857142857142857;0.21052631578947367;0.2222222222222222;0.0;0.13333333333333333;0.0;0.25;0.26666666666666666
GO:0051260;0.125;0.14285714285714285;0.125;0.0;0.16666666666666666;0.15384615384615385;0.0;0.1;0.0;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.9333333333333333;0.0;0.0;0.15384615384615385;0.0;0.0;1.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.14285714285714285;0.125;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.15384615384615385;0.1;0.125;0.0;0.0;0.125;0.14285714285714285;0.11764705882352941;0.13333333333333333;0.14285714285714285;0.15384615384615385;0.0;0.16666666666666666;0.15384615384615385;0.0;0.125;0.1111111111111111;0.0;0.0;0.14285714285714285;0.0;0.1111111111111111;0.13333333333333333;0.0;0.125;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.13333333333333333;0.13333333333333333;0.0;0.125;0.13333333333333333;0.0;0.0;0.11764705882352941;0.15384615384615385;0.11764705882352941;0.0;0.9333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.14285714285714285;0.0;0.15384615384615385;0.0;0.14285714285714285;0.15384615384615385;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.3076923076923077;0.16666666666666666;0.13333333333333333;0.0;0.1111111111111111;0.0;0.0;0.125;0.0;0.11764705882352941;0.0;0.125;0.0;0.0;0.0;0.1111111111111111;0.10526315789473684;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.16666666666666666;0.0;0.0;0.0;0.11764705882352941;0.15384615384615385;0.1111111111111111;0.11764705882352941;0.0;0.15384615384615385;0.18181818181818182;0.14285714285714285;0.18181818181818182;0.14285714285714285;0.10526315789473684;0.0;0.0;0.13333333333333333;0.0;0.0;0.0
GO:0006212;0.3157894736842105;0.23529411764705882;0.3157894736842105;0.0;0.13333333333333333;0.5;0.0;0.2608695652173913;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.1111111111111111;0.0;0.0;0.125;0.0;0.0;0.11764705882352941;1.0;0.9;0.0;0.0;0.11764705882352941;0.3157894736842105;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.17391304347826086;0.3157894736842105;0.0;0.0;0.3157894736842105;0.47058823529411764;0.2;0.3333333333333333;0.23529411764705882;0.25;0.0;0.26666666666666666;0.25;0.0;0.3157894736842105;0.19047619047619047;0.0;0.0;0.23529411764705882;0.0;0.19047619047619047;0.4444444444444444;0.0;0.631578947368421;0.0;0.0;0.0;0.0;0.3;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3157894736842105;0.2222222222222222;0.35294117647058826;0.0;0.3;0.25;0.4;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.47058823529411764;0.0;0.25;0.0;0.23529411764705882;0.25;0.23529411764705882;0.23529411764705882;0.47058823529411764;0.25;0.13333333333333333;0.2222222222222222;0.0;0.38095238095238093;0.0;0.0;0.21052631578947367;0.0;0.3;0.0;0.21052631578947367;0.0;0.0;0.0;0.38095238095238093;0.18181818181818182;0.3157894736842105;0.3333333333333333;0.0;0.3333333333333333;0.0;0.26666666666666666;0.0;0.0;0.0;0.2;0.375;0.19047619047619047;0.3;0.0;0.25;0.2857142857142857;0.23529411764705882;0.2857142857142857;0.23529411764705882;0.18181818181818182;0.0;0.0;0.2222222222222222;0.5;0.0;0.0
GO:0006210;0.42105263157894735;0.23529411764705882;0.42105263157894735;0.0;0.13333333333333333;0.5;0.0;0.34782608695652173;0.0;0.0;0.4444444444444444;0.0;0.3333333333333333;0.0;0.1111111111111111;0.0;0.0;0.125;0.0;0.0;0.11764705882352941;0.9;1.0;0.0;0.0;0.11764705882352941;0.3157894736842105;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.2608695652173913;0.3157894736842105;0.0;0.0;0.42105263157894735;0.47058823529411764;0.2;0.4444444444444444;0.23529411764705882;0.25;0.0;0.26666666666666666;0.25;0.0;0.42105263157894735;0.19047619047619047;0.0;0.0;0.23529411764705882;0.0;0.19047619047619047;0.4444444444444444;0.0;0.631578947368421;0.0;0.0;0.0;0.0;0.4;0.0;0.4444444444444444;0.3333333333333333;0.0;0.42105263157894735;0.2222222222222222;0.35294117647058826;0.0;0.4;0.25;0.4;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.47058823529411764;0.0;0.25;0.0;0.23529411764705882;0.25;0.23529411764705882;0.23529411764705882;0.47058823529411764;0.25;0.13333333333333333;0.2222222222222222;0.0;0.47619047619047616;0.0;0.0;0.21052631578947367;0.0;0.4;0.0;0.21052631578947367;0.0;0.0;0.0;0.38095238095238093;0.18181818181818182;0.42105263157894735;0.4444444444444444;0.0;0.4444444444444444;0.0;0.26666666666666666;0.0;0.0;0.0;0.3;0.5;0.19047619047619047;0.4;0.0;0.25;0.2857142857142857;0.23529411764705882;0.2857142857142857;0.23529411764705882;0.18181818181818182;0.0;0.0;0.2222222222222222;0.5;0.0;0.0
GO:0006853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5217391304347826;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0
GO:2000809;0.0;0.0;0.0;0.4;0.0;0.0;0.375;0.0;0.26666666666666666;0.5555555555555556;0.25;0.0;0.0;0.0;0.0;0.3157894736842105;0.5263157894736842;0.0;0.5263157894736842;0.26666666666666666;0.0;0.0;0.0;0.0;1.0;0.13333333333333333;0.0;0.42857142857142855;0.375;0.4;0.0;0.3333333333333333;0.8;0.42857142857142855;0.0;0.0;0.11764705882352941;0.0;0.14285714285714285;0.0;0.0;0.4;0.47058823529411764;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.10526315789473684;0.631578947368421;0.125;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.5333333333333333;0.0;0.0;0.3333333333333333;0.0;0.125;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.25;0.5555555555555556;0.42105263157894735;0.0;0.47058823529411764;0.5;0.125;0.0;0.38095238095238093;0.14285714285714285;0.4444444444444444;0.13333333333333333;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.125;0.375;0.0;0.26666666666666666;0.7058823529411765;0.11764705882352941;0.42105263157894735;0.0;0.1111111111111111;0.0;0.47058823529411764;0.47058823529411764;0.375;0.0;0.1;0.0;0.0;0.47058823529411764;0.0;0.5714285714285714;0.0;0.3;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.42105263157894735;0.14285714285714285;0.0;0.13333333333333333;0.0;0.26666666666666666;0.2;0.3157894736842105;0.0;0.125;0.0;0.47058823529411764;0.75
