;GO:0009790;GO:0014068;GO:0008584;GO:2001170;GO:0014065;GO:0035162;GO:1902036;GO:2001171;GO:0046579;GO:0046854;GO:0000187;GO:0045892;GO:0001701;GO:0071773;GO:0044320;GO:0072107;GO:2000352;GO:0032689;GO:0034504;GO:0060231;GO:2000010;GO:0000902;GO:0050728;GO:0060999;GO:0045773;GO:0042421;GO:0046627;GO:0003222;GO:0072182;GO:0051654;GO:0007416;GO:0001558;GO:0072178;GO:0071363;GO:0061290;GO:0051897;GO:0021817;GO:0008284;GO:0045786;GO:0045663;GO:0042035;GO:0045944;GO:0043523;GO:0048538;GO:0006302;GO:0000045;GO:0000165;GO:0043370;GO:0032703;GO:0070584;GO:0071398;GO:0019221;GO:0048662;GO:0070346;GO:0001649;GO:0010635;GO:0001806;GO:0072643;GO:0038129;GO:0038128;GO:0010595;GO:2000379;GO:0032148;GO:0050731;GO:2001223;GO:0050852;GO:0035898;GO:0016579;GO:0060374;GO:0048709;GO:0090286;GO:0043410;GO:0009267;GO:1901536;GO:0060379;GO:1902902;GO:0001933;GO:2000703;GO:2000146;GO:2000664;GO:2000786;GO:2000667;GO:0010761;GO:0007171;GO:0018108;GO:0042177;GO:0006366;GO:0043666;GO:0006007;GO:0051048;GO:2000679;GO:0070886;GO:0010976;GO:0010975;GO:0051569;GO:0055007;GO:2000553;GO:0061881;GO:0090305;GO:0061085;GO:0007187;GO:0014032;GO:0006772;GO:0060956;GO:0045213;GO:0002572;GO:2000727;GO:0045064;GO:2000607;GO:0010906;GO:0030218;GO:0071442;GO:0045582;GO:0001516;GO:0045187;GO:0031022;GO:0010469;GO:2000683;GO:0032753;GO:0033600;GO:0030335;GO:2001274;GO:0060065;GO:1902017;GO:0006468;GO:0009615;GO:0043687;GO:0043568;GO:0000122;GO:2000617;GO:0045471;GO:0009968;GO:0071354;GO:0001964;GO:2000734;GO:0071353;GO:0072602;GO:0071356;GO:0014912;GO:2000611;GO:0071599;GO:0035457;GO:1903077;GO:0006112;GO:0045599;GO:0007166;GO:0031929;GO:0048469;GO:0048468;GO:0000012;GO:0019371;GO:0045087;GO:0043065;GO:0072676;GO:0031643
GO:0000187;0.0;0.6956521739130435;0.0;0.5384615384615384;0.08695652173913043;0.0;0.36363636363636365;0.6153846153846154;0.6666666666666666;0.0;1.0;0.4;0.0;0.0;0.0;0.34782608695652173;0.3333333333333333;0.19047619047619047;0.0;0.0;0.36363636363636365;0.0;0.36363636363636365;0.07692307692307693;0.38461538461538464;0.0;0.5454545454545454;0.0;0.36363636363636365;0.0;0.0;0.4;0.0;0.0;0.08333333333333333;0.6956521739130435;0.0;0.5;0.4;0.47619047619047616;0.5714285714285714;0.46153846153846156;0.36363636363636365;0.0;0.0;0.0;0.08333333333333333;0.32;0.19047619047619047;0.0;0.0;0.09523809523809523;0.38095238095238093;0.47619047619047616;0.0;0.36363636363636365;0.0;0.0;0.08333333333333333;0.08333333333333333;0.3333333333333333;0.5714285714285714;0.8888888888888888;0.8;0.08695652173913043;0.08;0.08333333333333333;0.0;0.0;0.0;0.09523809523809523;0.88;0.0;0.43478260869565216;0.0;0.3333333333333333;0.75;0.5;0.38095238095238093;0.4;0.3333333333333333;0.4;0.0;0.8888888888888888;0.0;0.5454545454545454;0.0;0.6666666666666666;0.0;0.19047619047619047;0.38095238095238093;0.64;0.4166666666666667;0.08695652173913043;0.64;0.0;0.4;0.43478260869565216;0.0;0.64;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.34782608695652173;0.45454545454545453;0.0;0.6666666666666666;0.4166666666666667;0.0;0.2;0.0;0.5714285714285714;0.42105263157894735;0.38095238095238093;0.36363636363636365;0.45454545454545453;0.3333333333333333;0.0;0.34782608695652173;0.0;0.0;0.0;0.6363636363636364;0.38461538461538464;0.6666666666666666;0.0;0.5714285714285714;0.0;0.0;0.5;0.0;0.0;0.0;0.34782608695652173;0.5714285714285714;0.0;0.0;0.17391304347826086;0.0;0.38095238095238093;0.4;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.0;0.45454545454545453
GO:0045892;0.0;0.4;0.0;0.6086956521739131;0.1;0.0;0.42105263157894735;0.5217391304347826;0.38095238095238093;0.0;0.4;1.0;0.0;0.0;0.0;0.3;0.47619047619047616;0.4444444444444444;0.0;0.0;0.3157894736842105;0.0;0.42105263157894735;0.08695652173913043;0.17391304347826086;0.0;0.5263157894736842;0.0;0.42105263157894735;0.0;0.0;0.47058823529411764;0.0;0.0;0.09523809523809523;0.4;0.0;0.47058823529411764;0.5882352941176471;0.4444444444444444;0.6666666666666666;0.8695652173913043;0.42105263157894735;0.0;0.0;0.0;0.38095238095238093;0.36363636363636365;0.4444444444444444;0.0;0.0;0.4444444444444444;0.5555555555555556;0.4444444444444444;0.0;0.3157894736842105;0.0;0.0;0.09523809523809523;0.09523809523809523;0.2857142857142857;0.5555555555555556;0.4166666666666667;0.45454545454545453;0.4;0.09090909090909091;0.09523809523809523;0.0;0.0;0.0;0.1111111111111111;0.45454545454545453;0.0;0.6;0.0;0.5714285714285714;0.5714285714285714;0.38095238095238093;0.4444444444444444;0.36363636363636365;0.2857142857142857;0.36363636363636365;0.0;0.3333333333333333;0.0;0.631578947368421;0.0;0.47619047619047616;0.0;0.4444444444444444;0.2222222222222222;0.36363636363636365;0.09523809523809523;0.1;0.45454545454545453;0.0;0.2727272727272727;0.4;0.0;0.45454545454545453;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.5;0.42105263157894735;0.0;0.4166666666666667;0.38095238095238093;0.0;0.35294117647058826;0.0;0.4444444444444444;0.5;0.3333333333333333;0.42105263157894735;0.42105263157894735;0.47619047619047616;0.0;0.3;0.0;0.0;0.0;0.42105263157894735;0.9565217391304348;0.4166666666666667;0.0;0.4444444444444444;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.4;0.5555555555555556;0.0;0.0;0.4;0.0;0.5555555555555556;0.47058823529411764;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.42105263157894735
GO:0001701;0.7692307692307693;0.0;0.42857142857142855;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.14285714285714285;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.125;0.0;0.13333333333333333;0.0;0.1;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.5;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071773;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;1.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.9230769230769231;0.11764705882352941;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.14285714285714285;0.11764705882352941;0.0;0.0;0.15384615384615385;0.7142857142857143;0.14285714285714285;0.0;0.0;0.16666666666666666;0.0;0.25;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.14285714285714285;0.15384615384615385;0.14285714285714285;0.0;0.42857142857142855;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.1;0.11764705882352941;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.15384615384615385;0.14285714285714285;0.13333333333333333;0.14285714285714285;0.14285714285714285;0.0;0.10526315789473684;0.0;0.0;0.15384615384615385;0.0;0.0;0.10526315789473684;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.6153846153846154;0.0;0.7142857142857143;0.3076923076923077;0.0;0.7142857142857143;0.1111111111111111;0.7142857142857143;0.0;0.0;0.0;0.7142857142857143;0.0;0.15384615384615385;0.0;0.15384615384615385;0.14285714285714285;0.18181818181818182;0.18181818181818182;0.375;0.1111111111111111;0.3333333333333333;0.0;0.14285714285714285;0.0
GO:0044320;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.5714285714285714;1.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.7692307692307693;0.11764705882352941;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.14285714285714285;0.11764705882352941;0.0;0.0;0.15384615384615385;0.7142857142857143;0.14285714285714285;0.0;0.0;0.16666666666666666;0.0;0.25;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.14285714285714285;0.15384615384615385;0.14285714285714285;0.0;0.42857142857142855;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.1;0.23529411764705882;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.15384615384615385;0.2857142857142857;0.13333333333333333;0.2857142857142857;0.14285714285714285;0.0;0.10526315789473684;0.0;0.0;0.15384615384615385;0.0;0.0;0.10526315789473684;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.15384615384615385;0.26666666666666666;0.0;0.0;0.0;0.6153846153846154;0.0;0.7142857142857143;0.3076923076923077;0.0;0.7142857142857143;0.1111111111111111;0.7142857142857143;0.0;0.0;0.0;0.7142857142857143;0.0;0.15384615384615385;0.0;0.15384615384615385;0.14285714285714285;0.18181818181818182;0.18181818181818182;0.375;0.1111111111111111;0.3333333333333333;0.0;0.14285714285714285;0.0
GO:0072107;0.0;0.4444444444444444;0.0;0.2857142857142857;0.1111111111111111;0.0;0.47058823529411764;0.38095238095238093;0.42105263157894735;0.0;0.34782608695652173;0.3;0.0;0.0;0.0;1.0;0.3157894736842105;0.5;0.0;0.0;0.47058823529411764;0.0;0.35294117647058826;0.09523809523809523;0.47619047619047616;0.0;0.35294117647058826;0.0;0.7058823529411765;0.0;0.0;0.4;0.0;0.0;0.10526315789473684;0.4444444444444444;0.0;0.5333333333333333;0.4;0.625;0.5;0.38095238095238093;0.35294117647058826;0.0;0.0;0.0;0.10526315789473684;0.4;0.5;0.0;0.0;0.125;0.375;0.5;0.0;0.5882352941176471;0.0;0.0;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.5;0.36363636363636365;0.4;0.1111111111111111;0.1;0.10526315789473684;0.0;0.0;0.0;0.125;0.4;0.0;0.3333333333333333;0.0;0.3157894736842105;0.3157894736842105;0.8421052631578947;0.375;0.5;0.42105263157894735;0.5;0.0;0.2727272727272727;0.0;0.35294117647058826;0.0;0.21052631578947367;0.0;0.375;0.25;0.4;0.5263157894736842;0.1111111111111111;0.3;0.0;0.5;0.4444444444444444;0.0;0.3;0.125;0.0;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.7777777777777778;0.35294117647058826;0.0;0.36363636363636365;0.5263157894736842;0.0;0.5333333333333333;0.0;0.25;0.42857142857142855;0.625;0.47058823529411764;0.47058823529411764;0.3157894736842105;0.0;0.3333333333333333;0.0;0.0;0.0;0.47058823529411764;0.2857142857142857;0.36363636363636365;0.0;0.375;0.0;0.0;0.8421052631578947;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.0;0.3333333333333333;0.0;0.5;0.13333333333333333;0.125;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.5882352941176471
GO:2000352;0.0;0.42105263157894735;0.0;0.45454545454545453;0.10526315789473684;0.0;0.4444444444444444;0.36363636363636365;0.4;0.0;0.3333333333333333;0.47619047619047616;0.0;0.0;0.0;0.3157894736842105;1.0;0.47058823529411764;0.0;0.0;0.3333333333333333;0.0;0.4444444444444444;0.09090909090909091;0.18181818181818182;0.0;0.5555555555555556;0.0;0.4444444444444444;0.0;0.0;0.5;0.0;0.0;0.1;0.42105263157894735;0.0;0.5;0.625;0.47058823529411764;0.47058823529411764;0.36363636363636365;0.7777777777777778;0.0;0.0;0.0;0.4;0.38095238095238093;0.47058823529411764;0.0;0.0;0.47058823529411764;0.5882352941176471;0.47058823529411764;0.0;0.4444444444444444;0.0;0.0;0.1;0.1;0.3;0.47058823529411764;0.34782608695652173;0.38095238095238093;0.5263157894736842;0.09523809523809523;0.1;0.0;0.0;0.0;0.11764705882352941;0.38095238095238093;0.0;0.5263157894736842;0.0;0.5;0.5;0.5;0.5882352941176471;0.38095238095238093;0.4;0.38095238095238093;0.0;0.34782608695652173;0.0;0.4444444444444444;0.0;0.4;0.0;0.47058823529411764;0.23529411764705882;0.38095238095238093;0.1;0.10526315789473684;0.38095238095238093;0.0;0.2857142857142857;0.42105263157894735;0.0;0.38095238095238093;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.5263157894736842;0.4444444444444444;0.0;0.34782608695652173;0.4;0.0;0.375;0.0;0.47058823529411764;0.5333333333333333;0.35294117647058826;0.5555555555555556;0.4444444444444444;0.5;0.0;0.42105263157894735;0.0;0.0;0.0;0.4444444444444444;0.45454545454545453;0.34782608695652173;0.0;0.5882352941176471;0.0;0.0;0.5;0.0;0.0;0.0;0.5263157894736842;0.47058823529411764;0.0;0.0;0.42105263157894735;0.0;0.5882352941176471;0.5;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.7777777777777778;0.0;0.4444444444444444
GO:0032689;0.0;0.375;0.0;0.42105263157894735;0.125;0.0;0.5333333333333333;0.3157894736842105;0.35294117647058826;0.0;0.19047619047619047;0.4444444444444444;0.0;0.0;0.0;0.5;0.47058823529411764;1.0;0.0;0.0;0.4;0.0;0.5333333333333333;0.10526315789473684;0.21052631578947367;0.0;0.5333333333333333;0.0;0.5333333333333333;0.0;0.0;0.46153846153846156;0.0;0.0;0.11764705882352941;0.375;0.0;0.46153846153846156;0.6153846153846154;0.42857142857142855;0.7142857142857143;0.3157894736842105;0.4;0.0;0.0;0.0;0.11764705882352941;0.4444444444444444;0.8571428571428571;0.0;0.0;0.14285714285714285;0.5714285714285714;0.42857142857142855;0.0;0.4;0.0;0.0;0.11764705882352941;0.11764705882352941;0.47058823529411764;0.42857142857142855;0.2;0.3333333333333333;0.625;0.1111111111111111;0.11764705882352941;0.0;0.0;0.0;0.14285714285714285;0.3333333333333333;0.0;0.5;0.0;0.47058823529411764;0.47058823529411764;0.5882352941176471;0.5714285714285714;0.5555555555555556;0.35294117647058826;0.5555555555555556;0.0;0.3;0.0;0.5333333333333333;0.0;0.23529411764705882;0.0;0.5714285714285714;0.2857142857142857;0.3333333333333333;0.11764705882352941;0.125;0.3333333333333333;0.0;0.5555555555555556;0.375;0.0;0.3333333333333333;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.625;0.4;0.0;0.3;0.47058823529411764;0.0;0.6153846153846154;0.0;0.2857142857142857;0.5;0.7142857142857143;0.6666666666666666;0.4;0.47058823529411764;0.0;0.375;0.0;0.0;0.0;0.4;0.42105263157894735;0.3;0.0;0.5714285714285714;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.5;0.42857142857142855;0.0;0.0;0.5;0.0;0.5714285714285714;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.5333333333333333
GO:0034504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0060231;0.18181818181818182;0.0;0.16666666666666666;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.14285714285714285;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.0;1.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.13333333333333333;0.0;0.14285714285714285;0.0;0.0;0.18181818181818182;0.0;0.15384615384615385;0.16666666666666666;0.125;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.13333333333333333;0.15384615384615385;0.125;0.0;0.0;0.16666666666666666;0.15384615384615385;0.15384615384615385;0.0;0.0;0.18181818181818182;0.0;0.0;0.11764705882352941;0.125;0.125;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.125;0.125;0.15384615384615385;0.16666666666666666;0.15384615384615385;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.10526315789473684;0.125;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.15384615384615385;0.0;0.15384615384615385;0.16666666666666666;0.15384615384615385;0.14285714285714285;0.15384615384615385;0.15384615384615385;0.0;0.1111111111111111;0.0;0.0;0.16666666666666666;0.0;0.0;0.1111111111111111;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.15384615384615385;0.11764705882352941;0.15384615384615385;0.0;0.0;0.16666666666666666;0.15384615384615385;0.0;0.16666666666666666;0.0;0.16666666666666666;0.15384615384615385;0.2;0.2;0.13333333333333333;0.11764705882352941;0.0;0.0;0.15384615384615385;0.0
GO:2000010;0.0;0.47058823529411764;0.0;0.3;0.11764705882352941;0.0;0.375;0.4;0.4444444444444444;0.0;0.36363636363636365;0.3157894736842105;0.0;0.0;0.0;0.47058823529411764;0.3333333333333333;0.4;0.0;0.0;1.0;0.0;0.375;0.1;0.2;0.0;0.375;0.0;0.375;0.0;0.0;0.42857142857142855;0.0;0.0;0.1111111111111111;0.47058823529411764;0.0;0.5714285714285714;0.42857142857142855;0.5333333333333333;0.4;0.4;0.375;0.0;0.0;0.0;0.1111111111111111;0.3157894736842105;0.4;0.0;0.0;0.13333333333333333;0.4;0.5333333333333333;0.0;0.375;0.0;0.0;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.5333333333333333;0.38095238095238093;0.42105263157894735;0.11764705882352941;0.10526315789473684;0.1111111111111111;0.0;0.0;0.0;0.13333333333333333;0.42105263157894735;0.0;0.35294117647058826;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.4;0.42105263157894735;0.4444444444444444;0.42105263157894735;0.0;0.2857142857142857;0.0;0.375;0.0;0.2222222222222222;0.0;0.4;0.26666666666666666;0.42105263157894735;0.1111111111111111;0.11764705882352941;0.3157894736842105;0.0;0.42105263157894735;0.47058823529411764;0.0;0.3157894736842105;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.35294117647058826;0.375;0.0;0.38095238095238093;0.4444444444444444;0.0;0.42857142857142855;0.0;0.26666666666666666;0.46153846153846156;0.5333333333333333;0.375;0.5;0.3333333333333333;0.0;0.35294117647058826;0.0;0.0;0.0;0.5;0.3;0.38095238095238093;0.0;0.4;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.35294117647058826;0.5333333333333333;0.0;0.0;0.7058823529411765;0.0;0.4;0.14285714285714285;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5
GO:0000902;0.2;0.0;0.18181818181818182;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.15384615384615385;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;1.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.2;0.0;0.16666666666666666;0.18181818181818182;0.13333333333333333;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.14285714285714285;0.16666666666666666;0.13333333333333333;0.0;0.0;0.18181818181818182;0.16666666666666666;0.16666666666666666;0.0;0.0;0.2;0.0;0.0;0.125;0.13333333333333333;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.125;0.13333333333333333;0.13333333333333333;0.16666666666666666;0.18181818181818182;0.16666666666666666;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.1111111111111111;0.13333333333333333;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.18181818181818182;0.16666666666666666;0.15384615384615385;0.16666666666666666;0.16666666666666666;0.0;0.11764705882352941;0.0;0.0;0.18181818181818182;0.0;0.0;0.11764705882352941;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.125;0.16666666666666666;0.0;0.0;0.18181818181818182;0.16666666666666666;0.0;0.18181818181818182;0.0;0.18181818181818182;0.16666666666666666;0.2222222222222222;0.2222222222222222;0.14285714285714285;0.125;0.0;0.0;0.16666666666666666;0.0
GO:0050728;0.0;0.47058823529411764;0.0;0.4;0.11764705882352941;0.0;0.375;0.3;0.4444444444444444;0.0;0.36363636363636365;0.42105263157894735;0.0;0.0;0.0;0.35294117647058826;0.4444444444444444;0.5333333333333333;0.0;0.0;0.375;0.0;1.0;0.1;0.2;0.0;0.625;0.0;0.375;0.0;0.0;0.42857142857142855;0.0;0.0;0.1111111111111111;0.47058823529411764;0.0;0.42857142857142855;0.5714285714285714;0.4;0.4;0.3;0.375;0.0;0.0;0.0;0.1111111111111111;0.3157894736842105;0.5333333333333333;0.0;0.0;0.13333333333333333;0.5333333333333333;0.4;0.0;0.375;0.0;0.0;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.4;0.19047619047619047;0.3157894736842105;0.11764705882352941;0.10526315789473684;0.1111111111111111;0.0;0.0;0.0;0.13333333333333333;0.42105263157894735;0.0;0.47058823529411764;0.0;0.4444444444444444;0.4444444444444444;0.5555555555555556;0.5333333333333333;0.3157894736842105;0.3333333333333333;0.3157894736842105;0.0;0.2857142857142857;0.0;0.5;0.0;0.2222222222222222;0.0;0.5333333333333333;0.26666666666666666;0.42105263157894735;0.1111111111111111;0.11764705882352941;0.3157894736842105;0.0;0.42105263157894735;0.35294117647058826;0.0;0.3157894736842105;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.47058823529411764;0.375;0.0;0.2857142857142857;0.3333333333333333;0.0;0.42857142857142855;0.0;0.5333333333333333;0.6153846153846154;0.4;0.5;0.375;0.5555555555555556;0.0;0.35294117647058826;0.0;0.0;0.0;0.5;0.4;0.2857142857142857;0.0;0.6666666666666666;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.47058823529411764;0.4;0.0;0.0;0.47058823529411764;0.0;0.5333333333333333;0.14285714285714285;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.375
GO:0060999;0.0;0.09523809523809523;0.0;0.08333333333333333;0.09523809523809523;0.0;0.1;0.4166666666666667;0.09090909090909091;0.0;0.07692307692307693;0.08695652173913043;0.0;0.0;0.0;0.09523809523809523;0.09090909090909091;0.10526315789473684;0.0;0.0;0.1;0.0;0.1;1.0;0.08333333333333333;0.0;0.1;0.0;0.1;0.0;0.0;0.1111111111111111;0.0;0.0;0.09090909090909091;0.09523809523809523;0.0;0.5555555555555556;0.1111111111111111;0.5263157894736842;0.10526315789473684;0.08333333333333333;0.1;0.0;0.0;0.0;0.09090909090909091;0.08695652173913043;0.10526315789473684;0.0;0.0;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.0;0.1;0.0;0.0;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.5263157894736842;0.08;0.43478260869565216;0.09523809523809523;0.08695652173913043;0.09090909090909091;0.0;0.0;0.0;0.10526315789473684;0.08695652173913043;0.0;0.09523809523809523;0.0;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.10526315789473684;0.08695652173913043;0.09090909090909091;0.08695652173913043;0.0;0.08;0.0;0.1;0.0;0.09090909090909091;0.0;0.10526315789473684;0.10526315789473684;0.08695652173913043;0.9090909090909091;0.09523809523809523;0.08695652173913043;0.0;0.08695652173913043;0.47619047619047616;0.0;0.08695652173913043;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.09523809523809523;0.1;0.0;0.48;0.45454545454545453;0.0;0.1111111111111111;0.0;0.10526315789473684;0.11764705882352941;0.10526315789473684;0.1;0.1;0.09090909090909091;0.0;0.6666666666666666;0.0;0.0;0.0;0.1;0.08333333333333333;0.48;0.0;0.10526315789473684;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.09523809523809523;0.5263157894736842;0.0;0.0;0.09523809523809523;0.0;0.10526315789473684;0.1111111111111111;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.7
