;GO:0061333;GO:1902036;GO:0042256;GO:0002634;GO:0001666;GO:0032967;GO:0000184;GO:0071498;GO:0045893;GO:0071374;GO:0002638;GO:0001947;GO:2000111;GO:0018279;GO:0015701;GO:0050830;GO:0061045;GO:2000491;GO:0090501;GO:0031591;GO:0060998;GO:1902600;GO:0045652;GO:0007269;GO:0061844;GO:0060117;GO:0001953;GO:0000470;GO:0014902;GO:0030890;GO:0050727;GO:0018026;GO:1905563;GO:0060025;GO:1904753;GO:0002181;GO:0002062;GO:0045666;GO:0045663;GO:0045669;GO:0045944;GO:0043401;GO:0043525;GO:0043524;GO:0000398;GO:0048661;GO:0000165;GO:0006814;GO:0051145;GO:0034968;GO:0071277;GO:0001649;GO:0050859;GO:0030488;GO:0050855;GO:0050853;GO:0030522;GO:0034163;GO:0043537;GO:0046928;GO:0090288;GO:0060252;GO:0060536;GO:0048667;GO:0048666;GO:0043410;GO:0001782;GO:0007517;GO:0002467;GO:0071300;GO:0031167;GO:0019731;GO:0060045;GO:0055012;GO:0006366;GO:1904899;GO:0006367;GO:0006401;GO:0071294;GO:0035914;GO:0098656;GO:0048167;GO:0030220;GO:2000311;GO:2000310;GO:0051607;GO:0030224;GO:0010694;GO:0014898;GO:0051966;GO:1905184;GO:0030501;GO:0051963;GO:0014033;GO:0030182;GO:0032088;GO:0045577;GO:0042100;GO:0043312;GO:1904706;GO:2000727;GO:0071560;GO:0051453;GO:0051574;GO:2000845;GO:0051571;GO:2001016;GO:0035984;GO:2001014;GO:0046710;GO:0046037;GO:0006468;GO:0090073;GO:0045624;GO:0001574;GO:0000122;GO:0010839;GO:0045471;GO:0006614;GO:0048863;GO:0034765;GO:0070301;GO:0071636;GO:0060297;GO:0050829;GO:0035690;GO:0006351;GO:0072160;GO:0006357;GO:0030318;GO:0071222;GO:2000987;GO:0002943;GO:0070131;GO:0045087;GO:0071864;GO:0071467;GO:0030279
GO:0002638;0.0;0.5;0.0;0.5;0.0;0.4;0.42105263157894735;0.0;0.3157894736842105;0.0;1.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.5;0.4;0.0;0.0;0.10526315789473684;0.0;0.5;0.11764705882352941;0.0;0.0;0.5;0.0;0.0;0.4444444444444444;0.4;0.0;0.47058823529411764;0.25;0.4444444444444444;0.0;0.0;0.11764705882352941;0.4;0.4;0.3;0.13333333333333333;0.35294117647058826;0.47058823529411764;0.0;0.4;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.5;0.10526315789473684;0.14285714285714285;0.47058823529411764;0.42105263157894735;0.375;0.5714285714285714;0.1111111111111111;0.0;0.0;0.0;0.3157894736842105;0.125;0.0;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.21052631578947367;0.0;0.375;0.3;0.375;0.26666666666666666;0.0;0.0;0.38095238095238093;0.47058823529411764;0.0;0.0;0.5;0.3333333333333333;0.0;0.21052631578947367;0.3;0.3333333333333333;0.3;0.3333333333333333;0.0;0.35294117647058826;0.0;0.0;0.0;0.26666666666666666;0.47619047619047616;0.0;0.4;0.5;0.0;0.0;0.0;0.4;0.0;0.4;0.3333333333333333;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.375;0.0;0.3333333333333333;0.0;0.4;0.0;0.5714285714285714
GO:0001947;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.13333333333333333;0.15384615384615385;0.0;0.0;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:2000111;0.0;0.4444444444444444;0.0;0.3333333333333333;0.0;0.47058823529411764;0.2857142857142857;0.0;0.38095238095238093;0.0;0.3333333333333333;0.0;1.0;0.0;0.0;0.0;0.3333333333333333;0.5882352941176471;0.0;0.0;0.09523809523809523;0.0;0.4444444444444444;0.10526315789473684;0.0;0.0;0.4444444444444444;0.0;0.0;0.5;0.35294117647058826;0.0;0.42105263157894735;0.2222222222222222;0.4;0.0;0.0;0.5263157894736842;0.5882352941176471;0.5882352941176471;0.36363636363636365;0.47058823529411764;0.8421052631578947;0.7368421052631579;0.0;0.5882352941176471;0.4;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.4444444444444444;0.09523809523809523;0.5;0.42105263157894735;0.2857142857142857;0.4444444444444444;0.5;0.5;0.0;0.0;0.0;0.47619047619047616;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.47619047619047616;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.4;0.4;0.0;0.0;0.47619047619047616;0.0;0.4444444444444444;0.45454545454545453;0.4444444444444444;0.23529411764705882;0.0;0.0;0.2608695652173913;0.42105263157894735;0.0;0.0;0.4444444444444444;0.5;0.0;0.19047619047619047;0.45454545454545453;0.5;0.45454545454545453;0.5;0.0;0.42105263157894735;0.0;0.0;0.0;0.23529411764705882;0.34782608695652173;0.0;0.36363636363636365;0.4444444444444444;0.0;0.0;0.0;0.35294117647058826;0.0;0.47058823529411764;0.4;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.4444444444444444;0.0;0.5;0.0;0.5882352941176471;0.0;0.375
GO:0018279;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.47619047619047616;0.26666666666666666;0.0;0.11764705882352941;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.09090909090909091;0.0;0.0;0.0;0.10526315789473684;0.0;0.11764705882352941;0.0;0.09523809523809523;0.11764705882352941;0.0;0.0;0.47619047619047616;0.0;0.0;0.0;0.10526315789473684;0.13333333333333333;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.09090909090909091;0.0;0.1;0.0;0.125;0.09523809523809523;0.23529411764705882;0.13333333333333333;0.0;0.09090909090909091;0.0;0.09523809523809523;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.13333333333333333;0.0;0.0;0.0;0.0;0.23529411764705882;0.09090909090909091;0.0;0.0;0.1111111111111111;0.09523809523809523;0.0;0.1;0.5555555555555556;0.23529411764705882;0.13333333333333333;0.0;0.0;0.125;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.13333333333333333;0.0;0.0;0.11764705882352941;0.1;0.0;0.0;0.11764705882352941;0.19047619047619047;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.38095238095238093;0.38095238095238093;0.5555555555555556;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.23529411764705882;0.0;0.0;0.0;0.26666666666666666;0.1;0.11764705882352941;0.0;0.125;0.11764705882352941;0.0;0.09090909090909091;0.0;0.0;0.0;0.125;0.0
GO:0015701;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050830;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.46153846153846156;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.26666666666666666;0.0;0.875;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.4;0.0;0.0;0.875;0.3076923076923077;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.6153846153846154;0.0;0.2857142857142857;0.0
GO:0061045;0.0;0.375;0.0;0.5;0.0;0.4;0.42105263157894735;0.0;0.3157894736842105;0.0;0.5;0.0;0.3333333333333333;0.0;0.0;0.0;1.0;0.4;0.0;0.0;0.10526315789473684;0.0;0.375;0.11764705882352941;0.0;0.0;0.5;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0;0.47058823529411764;0.25;0.4444444444444444;0.0;0.0;0.11764705882352941;0.4;0.4;0.3;0.13333333333333333;0.35294117647058826;0.47058823529411764;0.0;0.4;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.5;0.10526315789473684;0.14285714285714285;0.47058823529411764;0.42105263157894735;0.375;0.7142857142857143;0.1111111111111111;0.0;0.0;0.0;0.42105263157894735;0.125;0.0;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.4444444444444444;0.4444444444444444;0.0;0.0;0.21052631578947367;0.0;0.375;0.3;0.375;0.26666666666666666;0.0;0.0;0.38095238095238093;0.35294117647058826;0.0;0.0;0.5;0.3333333333333333;0.0;0.21052631578947367;0.3;0.3333333333333333;0.3;0.3333333333333333;0.0;0.35294117647058826;0.0;0.0;0.0;0.26666666666666666;0.38095238095238093;0.0;0.4;0.5;0.0;0.0;0.0;0.4;0.0;0.4;0.3333333333333333;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.625;0.0;0.3333333333333333;0.0;0.4;0.0;0.5714285714285714
GO:2000491;0.0;0.5333333333333333;0.0;0.4;0.0;0.5714285714285714;0.3333333333333333;0.0;0.4444444444444444;0.0;0.4;0.0;0.5882352941176471;0.0;0.0;0.0;0.4;1.0;0.0;0.0;0.1111111111111111;0.0;0.5333333333333333;0.125;0.0;0.0;0.5333333333333333;0.0;0.0;0.7058823529411765;0.42857142857142855;0.0;0.5;0.26666666666666666;0.47058823529411764;0.0;0.0;0.625;0.7142857142857143;0.7142857142857143;0.5263157894736842;0.5714285714285714;0.625;0.5;0.0;0.7142857142857143;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5333333333333333;0.1111111111111111;0.6153846153846154;0.5;0.3333333333333333;0.5333333333333333;0.6153846153846154;0.5882352941176471;0.0;0.0;0.0;0.5555555555555556;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.47058823529411764;0.47058823529411764;0.0;0.0;0.5555555555555556;0.0;0.5333333333333333;0.5263157894736842;0.5333333333333333;0.2857142857142857;0.0;0.0;0.3;0.625;0.0;0.0;0.5333333333333333;0.5882352941176471;0.0;0.2222222222222222;0.5263157894736842;0.5882352941176471;0.5263157894736842;0.5882352941176471;0.0;0.5;0.0;0.0;0.0;0.2857142857142857;0.4;0.0;0.42105263157894735;0.5333333333333333;0.0;0.0;0.0;0.42857142857142855;0.0;0.5714285714285714;0.47058823529411764;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.5333333333333333;0.0;0.5882352941176471;0.0;0.7142857142857143;0.0;0.46153846153846156
GO:0090501;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.7368421052631579;0.3076923076923077;0.0;0.13333333333333333;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;1.0;0.4;0.0;0.0;0.0;0.11764705882352941;0.0;0.13333333333333333;0.0;0.42105263157894735;0.13333333333333333;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.47058823529411764;0.15384615384615385;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.4;0.0;0.1111111111111111;0.0;0.14285714285714285;0.10526315789473684;0.26666666666666666;0.15384615384615385;0.0;0.4;0.0;0.10526315789473684;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.0;0.0;0.26666666666666666;0.4;0.0;0.0;0.125;0.42105263157894735;0.0;0.7777777777777778;0.875;0.26666666666666666;0.15384615384615385;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;0.0;0.13333333333333333;0.1111111111111111;0.0;0.0;0.13333333333333333;0.21052631578947367;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.42105263157894735;0.42105263157894735;0.5;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.26666666666666666;0.0;0.0;0.0;0.3076923076923077;0.4444444444444444;0.13333333333333333;0.0;0.14285714285714285;0.13333333333333333;0.0;0.4;0.0;0.0;0.0;0.14285714285714285;0.0
GO:0031591;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.34782608695652173;0.11764705882352941;0.0;0.10526315789473684;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.4;1.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.10526315789473684;0.0;0.34782608695652173;0.10526315789473684;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.38095238095238093;0.11764705882352941;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.3333333333333333;0.0;0.09090909090909091;0.0;0.1111111111111111;0.08695652173913043;0.10526315789473684;0.11764705882352941;0.0;0.9166666666666666;0.0;0.08695652173913043;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.11764705882352941;0.0;0.0;0.0;0.0;0.10526315789473684;0.3333333333333333;0.0;0.0;0.1;0.34782608695652173;0.0;0.36363636363636365;0.4;0.10526315789473684;0.11764705882352941;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.11764705882352941;0.0;0.0;0.10526315789473684;0.09090909090909091;0.0;0.0;0.10526315789473684;0.08695652173913043;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.34782608695652173;0.34782608695652173;0.4;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.10526315789473684;0.0;0.0;0.0;0.11764705882352941;0.36363636363636365;0.10526315789473684;0.0;0.1111111111111111;0.10526315789473684;0.0;0.9166666666666666;0.0;0.0;0.0;0.1111111111111111;0.0
GO:0060998;0.0;0.10526315789473684;0.0;0.10526315789473684;0.0;0.1111111111111111;0.09090909090909091;0.0;0.09090909090909091;0.0;0.10526315789473684;0.0;0.09523809523809523;0.0;0.0;0.0;0.10526315789473684;0.1111111111111111;0.0;0.0;1.0;0.0;0.10526315789473684;0.1;0.0;0.0;0.10526315789473684;0.0;0.0;0.09523809523809523;0.1111111111111111;0.0;0.1;0.10526315789473684;0.09523809523809523;0.0;0.0;0.1;0.1111111111111111;0.1111111111111111;0.08695652173913043;0.1111111111111111;0.1;0.1;0.0;0.1111111111111111;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.10526315789473684;0.09090909090909091;0.11764705882352941;0.1;0.09090909090909091;0.10526315789473684;0.11764705882352941;0.09523809523809523;0.0;0.0;0.0;0.09090909090909091;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.09523809523809523;0.09523809523809523;0.0;0.0;0.09090909090909091;0.0;0.10526315789473684;0.08695652173913043;0.10526315789473684;0.1111111111111111;0.0;0.0;0.08333333333333333;0.1;0.0;0.0;0.10526315789473684;0.09523809523809523;0.0;0.09090909090909091;0.08695652173913043;0.09523809523809523;0.08695652173913043;0.09523809523809523;0.0;0.1;0.0;0.0;0.0;0.1111111111111111;0.08333333333333333;0.0;0.08695652173913043;0.10526315789473684;0.0;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.09523809523809523;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.10526315789473684;0.0;0.09523809523809523;0.0;0.1111111111111111;0.0;0.11764705882352941
GO:1902600;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8235294117647058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045652;0.0;0.75;0.0;0.5;0.0;0.4;0.3157894736842105;0.0;0.42105263157894735;0.0;0.5;0.0;0.4444444444444444;0.0;0.0;0.0;0.375;0.5333333333333333;0.0;0.0;0.10526315789473684;0.0;1.0;0.11764705882352941;0.0;0.0;0.5;0.0;0.0;0.4444444444444444;0.4;0.0;0.47058823529411764;0.25;0.4444444444444444;0.0;0.0;0.5882352941176471;0.6666666666666666;0.6666666666666666;0.4;0.5333333333333333;0.47058823529411764;0.47058823529411764;0.0;0.5333333333333333;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.5;0.10526315789473684;0.5714285714285714;0.47058823529411764;0.42105263157894735;0.5;0.5714285714285714;0.4444444444444444;0.0;0.0;0.0;0.42105263157894735;0.125;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.4444444444444444;0.4444444444444444;0.0;0.0;0.42105263157894735;0.0;0.5;0.4;0.5;0.6666666666666666;0.0;0.0;0.2857142857142857;0.7058823529411765;0.0;0.0;0.5;0.5555555555555556;0.0;0.21052631578947367;0.4;0.4444444444444444;0.4;0.5555555555555556;0.0;0.5882352941176471;0.0;0.0;0.0;0.26666666666666666;0.38095238095238093;0.0;0.4;0.5;0.0;0.0;0.0;0.4;0.0;0.5333333333333333;0.5555555555555556;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.5;0.0;0.4444444444444444;0.0;0.5333333333333333;0.0;0.5714285714285714
GO:0007269;0.0;0.11764705882352941;0.1111111111111111;0.11764705882352941;0.0;0.125;0.2;0.2857142857142857;0.1;0.125;0.11764705882352941;0.0;0.10526315789473684;0.10526315789473684;0.47058823529411764;0.0;0.11764705882352941;0.125;0.11764705882352941;0.09523809523809523;0.1;0.4444444444444444;0.11764705882352941;1.0;0.0;0.125;0.11764705882352941;0.1;0.125;0.10526315789473684;0.125;0.1;0.1111111111111111;0.11764705882352941;0.10526315789473684;0.1111111111111111;0.14285714285714285;0.1111111111111111;0.125;0.125;0.09523809523809523;0.125;0.1111111111111111;0.1111111111111111;0.09523809523809523;0.125;0.10526315789473684;0.47058823529411764;0.13333333333333333;0.1;0.25;0.14285714285714285;0.1111111111111111;0.09523809523809523;0.11764705882352941;0.1;0.13333333333333333;0.1111111111111111;0.1;0.47058823529411764;0.13333333333333333;0.10526315789473684;0.0;0.125;0.14285714285714285;0.1;0.11764705882352941;0.0;0.0;0.25;0.09523809523809523;0.0;0.1;0.11764705882352941;0.1;0.11764705882352941;0.10526315789473684;0.23529411764705882;0.25;0.14285714285714285;0.5;0.35294117647058826;0.13333333333333333;0.10526315789473684;0.10526315789473684;0.0;0.125;0.1;0.0;0.11764705882352941;0.09523809523809523;0.11764705882352941;0.125;0.13333333333333333;0.14285714285714285;0.09090909090909091;0.1111111111111111;0.125;0.10526315789473684;0.11764705882352941;0.10526315789473684;0.125;0.2;0.09523809523809523;0.3157894736842105;0.09523809523809523;0.10526315789473684;0.25;0.1111111111111111;0.2;0.2;0.23529411764705882;0.125;0.09090909090909091;0.21052631578947367;0.09523809523809523;0.11764705882352941;0.0;0.09090909090909091;0.2857142857142857;0.125;0.25;0.125;0.10526315789473684;0.0;0.2857142857142857;0.10526315789473684;0.125;0.1;0.13333333333333333;0.125;0.11764705882352941;0.09523809523809523;0.10526315789473684;0.0;0.125;0.13333333333333333;0.13333333333333333
GO:0061844;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.3333333333333333;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.15384615384615385;0.2857142857142857;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.23529411764705882;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.5;0.0;0.3076923076923077;0.0
GO:0060117;0.14285714285714285;0.0;0.125;0.0;0.0;0.0;0.2222222222222222;0.3333333333333333;0.0;0.14285714285714285;0.0;0.13333333333333333;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.13333333333333333;0.10526315789473684;0.0;0.0;0.0;0.125;0.0;1.0;0.0;0.1111111111111111;0.14285714285714285;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.125;0.16666666666666666;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.10526315789473684;0.0;0.11764705882352941;0.0;0.15384615384615385;0.1111111111111111;0.2857142857142857;0.16666666666666666;0.0;0.10526315789473684;0.0;0.1111111111111111;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.14285714285714285;0.16666666666666666;0.0;0.0;0.16666666666666666;0.15384615384615385;0.2857142857142857;0.10526315789473684;0.0;0.0;0.13333333333333333;0.1111111111111111;0.0;0.11764705882352941;0.26666666666666666;0.2857142857142857;0.16666666666666666;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.16666666666666666;0.0;0.0;0.14285714285714285;0.11764705882352941;0.0;0.0;0.14285714285714285;0.2222222222222222;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.2222222222222222;0.2222222222222222;0.26666666666666666;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.5;0.0;0.2857142857142857;0.0;0.0;0.0;0.3333333333333333;0.11764705882352941;0.14285714285714285;0.0;0.15384615384615385;0.14285714285714285;0.0;0.10526315789473684;0.0;0.0;0.0;0.15384615384615385;0.0
GO:0001953;0.0;0.5;0.0;0.375;0.0;0.4;0.42105263157894735;0.0;0.42105263157894735;0.0;0.5;0.0;0.4444444444444444;0.0;0.0;0.0;0.5;0.5333333333333333;0.0;0.0;0.10526315789473684;0.0;0.5;0.11764705882352941;0.0;0.0;1.0;0.0;0.0;0.4444444444444444;0.4;0.0;0.5882352941176471;0.25;0.5555555555555556;0.0;0.0;0.11764705882352941;0.5333333333333333;0.5333333333333333;0.4;0.13333333333333333;0.47058823529411764;0.5882352941176471;0.0;0.5333333333333333;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.5;0.10526315789473684;0.5714285714285714;0.47058823529411764;0.42105263157894735;0.5;0.7142857142857143;0.1111111111111111;0.0;0.0;0.0;0.42105263157894735;0.125;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.4444444444444444;0.4444444444444444;0.0;0.0;0.21052631578947367;0.0;0.5;0.4;0.375;0.26666666666666666;0.0;0.0;0.38095238095238093;0.47058823529411764;0.0;0.0;0.625;0.4444444444444444;0.0;0.21052631578947367;0.4;0.4444444444444444;0.4;0.4444444444444444;0.0;0.47058823529411764;0.0;0.0;0.0;0.26666666666666666;0.2857142857142857;0.0;0.5;0.625;0.0;0.0;0.0;0.4;0.0;0.4;0.4444444444444444;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.375;0.0;0.4444444444444444;0.0;0.5333333333333333;0.0;0.5714285714285714
