;GO:0036257;GO:1901624;GO:0048489;GO:0045893;GO:0035556;GO:0090502;GO:0007264;GO:0009967;GO:0006605;GO:0048010;GO:0018146;GO:0048096;GO:0034614;GO:0015711;GO:0090316;GO:0035023;GO:0043123;GO:0038096;GO:1903307;GO:1903428;GO:0000165;GO:0043491;GO:0070100;GO:0070588;GO:2000777;GO:0030520;GO:0035655;GO:0050852;GO:0090166;GO:1903435;GO:1990830;GO:0050900;GO:0050868;GO:0018108;GO:0032092;GO:1902991;GO:0006486;GO:0046777;GO:0000413;GO:0060326;GO:0006643;GO:0032925;GO:0032927;GO:0031398;GO:0051604;GO:0035879;GO:0016973;GO:0032402;GO:0007183;GO:0061762;GO:0007186;GO:0032482;GO:1901796;GO:0043312;GO:1990182;GO:0000302;GO:0006378;GO:0043316;GO:0060314;GO:0032515;GO:0051057;GO:0045860;GO:0010628;GO:0044375;GO:0050766;GO:0018105;GO:0006090;GO:0018107;GO:0072659;GO:0042759;GO:0044819;GO:0043320;GO:0006468;GO:1904716;GO:0045747;GO:0000122;GO:0000086;GO:0006977;GO:0000082;GO:0032465;GO:0010793;GO:0050776;GO:0022417;GO:0007169;GO:1903599;GO:0007166;GO:0006357;GO:1990000;GO:0030318;GO:0019370;GO:0019372;GO:0043066;GO:0010848;GO:0043065;GO:0031122;GO:0036413
GO:0044819;0.01468324974140624;0.13839445927415203;0.0;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.0;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.13839445927415203;0.01468324974140624;0.036692364793703955;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.036692364793703955;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;1.0;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.3467493891750634;0.5364053022654205;0.3467493891750634;0.3306880877895893;0.042064647228987374;0.042064647228987374;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624
GO:0043320;0.01468324974140624;0.0;0.23890105842610806;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.14698621595948655;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.14698621595948655;0.0;0.0;0.0;0.29045087053624835;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.14698621595948655;0.0;0.01468324974140624;0.01468324974140624;0.20709043845653538;0.01468324974140624;0.0;0.01468324974140624;0.20709043845653538;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.14698621595948655;0.14698621595948655;0.14698621595948655;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.3643693056757151;0.3231714079313524;0.0;0.01468324974140624;0.5375110437700777;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.13331334997803274;0.01468324974140624;0.01468324974140624;1.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624
GO:0006468;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.08547128021085358;0.01468324974140624;0.0;0.0;0.01468324974140624;0.1237146889194086;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.30379685991921485;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.30379685991921485;0.0;0.0;0.18032682375526765;0.30379685991921485;0.18032682375526765;0.01468324974140624;0.06927734236639929;0.0;0.0;0.0;0.1468397877411918;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.08547128021085358;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.30379685991921485;0.06886689890529227;0.30379685991921485;0.0;0.06927734236639929;0.01468324974140624;0.01468324974140624;1.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.1468397877411918;0.01468324974140624;0.0;0.01468324974140624;0.0;0.1468397877411918;0.01468324974140624;0.06886689890529227;0.06927734236639929;0.0;0.0;0.0;0.01468324974140624;0.18032682375526765
GO:1904716;0.0;0.047799631016701725;0.0;0.1816892161000484;0.047799631016701725;0.0;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.1816892161000484;0.0;0.0;0.11511873865597294;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.12755981097713553;0.17811780918080672;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.44927334416867676;0.047799631016701725;0.047799631016701725;0.11511873865597294;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;0.0;0.036692364793703955;0.1890450431733396;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.24457446477495315;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.1890450431733396;0.12755981097713553;0.24457446477495315;0.17825033928423412;0.036692364793703955;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;1.0;0.12755981097713553;0.10900961301269105;0.0;0.12755981097713553;0.0;0.047799631016701725;0.10567815125427765;0.042064647228987374;0.0;0.047799631016701725;0.5249712668632919;0.047799631016701725;0.10900961301269105;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.0
GO:0045747;0.0;0.1492331351584338;0.0;0.12755981097713553;0.047799631016701725;0.0;0.047799631016701725;0.25051392497694763;0.0;0.047799631016701725;0.0;0.12755981097713553;0.0;0.0;0.11511873865597294;0.1786822519641151;0.25051392497694763;0.21066859409381297;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.0;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.21066859409381297;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;0.0;0.036692364793703955;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.1786822519641151;0.25051392497694763;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.0;0.0;0.0;0.0;0.0;0.1786822519641151;0.047799631016701725;0.25051392497694763;0.12755981097713553;0.11511873865597294;0.036692364793703955;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.12755981097713553;1.0;0.047799631016701725;0.0;0.12755981097713553;0.0;0.047799631016701725;0.042064647228987374;0.1492331351584338;0.0;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.0
GO:0000122;0.0;0.13839445927415203;0.0;0.15831211565824807;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.15831211565824807;0.0;0.0;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.14052726254022924;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.0;0.10900961301269105;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.0;0.036692364793703955;0.10900961301269105;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.10900961301269105;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.20539045317781315;0.047799631016701725;0.10900961301269105;0.1356691921375081;0.036692364793703955;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.0;0.10900961301269105;0.047799631016701725;1.0;0.0;0.13839445927415203;0.0;0.047799631016701725;0.1356691921375081;0.042064647228987374;0.0;0.047799631016701725;0.10577604256148812;0.047799631016701725;0.193449319138058;0.0;0.0;0.0;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.0;0.0
GO:0000086;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.3467493891750634;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;1.0;0.3467493891750634;0.44202924892446255;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624
GO:0006977;0.01468324974140624;0.13839445927415203;0.0;0.12755981097713553;0.24553006275393716;0.01468324974140624;0.24553006275393716;0.12755981097713553;0.0;0.12659489728285286;0.01468324974140624;0.12755981097713553;0.24991089615047335;0.0;0.11511873865597294;0.047799631016701725;0.12755981097713553;0.12659489728285286;0.12755981097713553;0.12755981097713553;0.24553006275393716;0.24553006275393716;0.13839445927415203;0.0;0.12755981097713553;0.12659489728285286;0.12659489728285286;0.12659489728285286;0.01468324974140624;0.12755981097713553;0.1912422969752877;0.01468324974140624;0.13839445927415203;0.01468324974140624;0.036692364793703955;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.12755981097713553;0.12755981097713553;0.0;0.0;0.0;0.0;0.01468324974140624;0.24553006275393716;0.12659489728285286;0.24553006275393716;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.17988792517482602;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.13839445927415203;0.12755981097713553;0.12755981097713553;0.11511873865597294;0.036692364793703955;0.12755981097713553;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.5364053022654205;0.01468324974140624;0.01468324974140624;0.12755981097713553;0.12755981097713553;0.13839445927415203;0.3467493891750634;1.0;0.3467493891750634;0.3306880877895893;0.042064647228987374;0.042064647228987374;0.01468324974140624;0.12659489728285286;0.12755981097713553;0.12659489728285286;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.13839445927415203;0.047799631016701725;0.12755981097713553;0.01468324974140624;0.01468324974140624
GO:0000082;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.3467493891750634;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.44202924892446255;0.3467493891750634;1.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624
GO:0032465;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.036692364793703955;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.036692364793703955;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.3306880877895893;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.3306880877895893;0.0;1.0;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0
GO:0010793;0.0;0.19673256925640645;0.0;0.1356691921375081;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.0;0.1356691921375081;0.0;0.0;0.4451356076400514;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.23542160760630382;0.09795404577404272;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.10567815125427765;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.23542160760630382;0.0;0.0;0.042064647228987374;0.0;0.036692364793703955;0.10567815125427765;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.10567815125427765;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.3178431150425771;0.10567815125427765;0.042064647228987374;0.10567815125427765;0.1356691921375081;0.036692364793703955;0.23542160760630382;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.0;0.0;0.10567815125427765;0.042064647228987374;0.1356691921375081;0.0;0.042064647228987374;0.0;0.042064647228987374;1.0;0.042064647228987374;0.0;0.042064647228987374;0.09795404577404272;0.042064647228987374;0.1356691921375081;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0
GO:0050776;0.0;0.2515269417723919;0.0;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.1492331351584338;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.042064647228987374;0.1492331351584338;0.1492331351584338;0.29114835073653533;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.1492331351584338;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.29114835073653533;0.0;0.042064647228987374;0.0;0.0;0.2515269417723919;0.0;0.036692364793703955;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.1492331351584338;0.1492331351584338;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.1492331351584338;0.0;0.0;0.0;0.0;0.0;0.1492331351584338;0.042064647228987374;0.1492331351584338;0.042064647228987374;0.042064647228987374;0.036692364793703955;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.0;0.0;0.042064647228987374;0.1492331351584338;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;1.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0
GO:0022417;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.08547128021085358;0.01468324974140624;0.0;0.0;0.01468324974140624;0.1237146889194086;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.1468397877411918;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.1468397877411918;0.0;0.0;0.1468397877411918;0.1468397877411918;0.1468397877411918;0.01468324974140624;0.06927734236639929;0.0;0.0;0.0;0.450216024510045;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.08547128021085358;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.1468397877411918;0.06501482195767329;0.1468397877411918;0.0;0.06927734236639929;0.01468324974140624;0.01468324974140624;0.1468397877411918;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;1.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.1468397877411918;0.01468324974140624;0.06501482195767329;0.06927734236639929;0.0;0.0;0.0;0.01468324974140624;0.1468397877411918
GO:0007169;0.01468324974140624;0.047799631016701725;0.0;0.047799631016701725;0.12659489728285286;0.01468324974140624;0.12659489728285286;0.047799631016701725;0.0;0.36457407069507686;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.0;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.2052608479739753;0.047799631016701725;0.047799631016701725;0.12659489728285286;0.12659489728285286;0.047799631016701725;0.0;0.047799631016701725;0.12659489728285286;0.2052608479739753;0.2052608479739753;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.036692364793703955;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.01468324974140624;0.12659489728285286;0.12659489728285286;0.12659489728285286;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.036692364793703955;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.042064647228987374;0.042064647228987374;0.01468324974140624;1.0;0.047799631016701725;0.2052608479739753;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624
GO:1903599;0.0;0.047799631016701725;0.0;0.17811780918080672;0.047799631016701725;0.0;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.17811780918080672;0.0;0.0;0.11511873865597294;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.12755981097713553;0.17811780918080672;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.40381490008344384;0.047799631016701725;0.047799631016701725;0.11511873865597294;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;0.0;0.036692364793703955;0.09795404577404272;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.17811780918080672;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.10577604256148812;0.12755981097713553;0.17811780918080672;0.17111199477934044;0.036692364793703955;0.27776606418114075;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.5249712668632919;0.12755981097713553;0.10577604256148812;0.0;0.12755981097713553;0.0;0.047799631016701725;0.09795404577404272;0.042064647228987374;0.0;0.047799631016701725;1.0;0.047799631016701725;0.10577604256148812;0.0;0.0;0.0;0.0;0.047799631016701725;0.27081478360302164;0.12755981097713553;0.0;0.0
GO:0007166;0.01468324974140624;0.047799631016701725;0.0;0.047799631016701725;0.12659489728285286;0.01468324974140624;0.12659489728285286;0.047799631016701725;0.0;0.2052608479739753;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.0;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.2052608479739753;0.047799631016701725;0.047799631016701725;0.12659489728285286;0.12659489728285286;0.047799631016701725;0.0;0.047799631016701725;0.12659489728285286;0.2052608479739753;0.2052608479739753;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.036692364793703955;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.01468324974140624;0.12659489728285286;0.12659489728285286;0.12659489728285286;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.036692364793703955;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.042064647228987374;0.042064647228987374;0.01468324974140624;0.2052608479739753;0.047799631016701725;1.0;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624
GO:0006357;0.0;0.047799631016701725;0.0;0.15831211565824807;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.15831211565824807;0.0;0.0;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.14052726254022924;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.10900961301269105;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.036692364793703955;0.10900961301269105;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.10900961301269105;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.10900961301269105;0.047799631016701725;0.10900961301269105;0.1356691921375081;0.036692364793703955;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.10900961301269105;0.047799631016701725;0.193449319138058;0.0;0.047799631016701725;0.0;0.047799631016701725;0.1356691921375081;0.042064647228987374;0.0;0.047799631016701725;0.10577604256148812;0.047799631016701725;1.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0
GO:1990000;0.12408495164008174;0.0;0.0;0.0;0.01468324974140624;0.08547128021085358;0.01468324974140624;0.0;0.0;0.01468324974140624;0.1237146889194086;0.12408495164008174;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.1468397877411918;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.12408495164008174;0.0;0.01468324974140624;0.01468324974140624;0.0;0.1468397877411918;0.0;0.0;0.1468397877411918;0.1468397877411918;0.1468397877411918;0.01468324974140624;0.06927734236639929;0.0;0.0;0.0;0.1468397877411918;0.0;0.0;0.0;0.12408495164008174;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.08547128021085358;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.12408495164008174;0.0;0.1468397877411918;0.06501482195767329;0.1468397877411918;0.0;0.06927734236639929;0.01468324974140624;0.01468324974140624;0.1468397877411918;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.1468397877411918;0.01468324974140624;0.0;0.01468324974140624;0.0;1.0;0.01468324974140624;0.06501482195767329;0.06927734236639929;0.0;0.0;0.0;0.3844177262349106;0.1468397877411918
GO:0030318;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;1.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624
