;GO:0016525;GO:1903487;GO:1901740;GO:0045648;GO:0010819;GO:0010818;GO:0045892;GO:0006958;GO:0033138;GO:0070206;GO:0006612;GO:0061844;GO:0098586;GO:2000406;GO:1901509;GO:0071360;GO:0046597;GO:0045662;GO:0051097;GO:0030816;GO:0050689;GO:0050688;GO:0008285;GO:0008284;GO:0007597;GO:0043367;GO:0045944;GO:0060700;GO:0042832;GO:0002576;GO:0019060;GO:0034605;GO:0043011;GO:0016079;GO:0019985;GO:0010994;GO:0000209;GO:0034165;GO:0032020;GO:0002230;GO:0051281;GO:0002741;GO:0007517;GO:0030593;GO:0010800;GO:0032496;GO:0034157;GO:0032897;GO:0003374;GO:0006006;GO:0042730;GO:0032091;GO:0006401;GO:2000679;GO:0043154;GO:0001869;GO:0051607;GO:0031397;GO:0030501;GO:0051205;GO:2000553;GO:0032480;GO:0045859;GO:0007186;GO:0090026;GO:0043950;GO:1901799;GO:0042742;GO:0006139;GO:0000266;GO:0007219;GO:0001756;GO:0010628;GO:0010506;GO:0010469;GO:0050767;GO:0033280;GO:0060340;GO:0009615;GO:0000079;GO:2000737;GO:0010951;GO:0071357;GO:0045070;GO:0045071;GO:0019941;GO:0035457;GO:0035458;GO:0060333;GO:0006351;GO:0050709;GO:0001580;GO:0007166;GO:0060337;GO:0006357;GO:0071222;GO:0043066;GO:0045087;GO:0070098
GO:0042742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.8;0.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.6830074998557688;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.0;0.6830074998557688;0.0
GO:0006139;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.6000000000000001;0.6000000000000001;1.0;0.6000000000000001;0.4;0.0;0.5356143810225276;0.0;0.4;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;1.0;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.8;0.4;0.4;0.6000000000000001;0.6830074998557688;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.6000000000000001
GO:0000266;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.2830074998557688;0.0;0.3660149997115376;0.0;0.3356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.43852901558847923;1.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.5356143810225276;0.3660149997115376;0.3660149997115376;0.5356143810225276;0.48300749985576874;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.5356143810225276
GO:0007219;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.4;0.8;0.4;0.8;0.3660149997115376;0.8;0.0;0.0;0.0;0.4;0.48300749985576874;0.48300749985576874;0.4;0.48300749985576874;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.8;0.3660149997115376;0.43852901558847923;0.0;0.5356143810225276;0.0;0.6000000000000001;0.8;0.8;0.8;0.8;0.3660149997115376;0.4;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.4;0.0;0.8;0.3356143810225276;0.0;0.4;0.43852901558847923;0.8;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.4;0.4;0.0;0.3660149997115376;0.43852901558847923;0.0;0.4;0.43852901558847923;0.43852901558847923;0.8;0.4;0.4;0.3660149997115376;0.0;0.6000000000000001;0.5356143810225276;1.0;0.0;0.43852901558847923;0.48300749985576874;0.6000000000000001;0.8;0.0;0.4;0.0;0.48300749985576874;0.48300749985576874;0.4;0.8;0.4;0.4;0.8;0.48300749985576874;0.48300749985576874;0.8;0.8;0.48300749985576874;0.0;1.0;0.8;0.4;0.8;0.43852901558847923;0.0;0.8
GO:0001756;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0010628;0.4;0.43852901558847923;0.4;0.43852901558847923;0.3660149997115376;0.0;0.6830074998557688;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.4;0.3356143810225276;0.48300749985576874;0.4;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.0;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.4;0.4;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.4;0.0;0.0;0.4;0.3660149997115376;0.0;0.3356143810225276;0.3660149997115376;0.48300749985576874;0.0;0.4;0.48300749985576874;0.0;0.43852901558847923;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;1.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.4;0.4;0.43852901558847923;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923;0.0;0.4;0.0;0.43852901558847923;0.43852901558847923;0.6830074998557688;0.0;0.3660149997115376;0.0;0.43852901558847923
GO:0010506;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.3660149997115376;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.4;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.4;0.48300749985576874;0.4;0.0;0.0;0.4;0.0;0.4;0.4;0.0;0.0;0.4;0.3660149997115376;0.0;0.3356143810225276;0.4;0.4;0.0;0.43852901558847923;0.4;0.0;0.3660149997115376;0.4;0.48300749985576874;0.5356143810225276;0.3660149997115376;0.4;0.5356143810225276;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;1.0;0.48300749985576874;0.48300749985576874;0.0;0.4;0.0;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.0;0.43852901558847923
GO:0010469;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.0;0.4;0.6000000000000001;0.3660149997115376;0.0;0.0;0.0;0.0;0.4;0.48300749985576874;0.0;0.4;0.48300749985576874;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.6000000000000001;0.5356143810225276;0.5356143810225276;0.0;0.0;0.3660149997115376;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.0;0.3356143810225276;0.0;0.6000000000000001;0.43852901558847923;0.0;0.0;0.48300749985576874;0.6000000000000001;0.0;0.5356143810225276;0.4;0.48300749985576874;0.0;0.3660149997115376;0.43852901558847923;0.0;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.3660149997115376;0.0;0.0;0.0;0.6000000000000001;0.0;0.43852901558847923;0.48300749985576874;1.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.4;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.6000000000000001;0.6000000000000001;0.4;0.0;0.43852901558847923;0.0;0.6000000000000001
GO:0050767;0.5356143810225276;0.6830074998557688;0.48300749985576874;0.5356143810225276;0.4;0.0;0.4;0.8;0.3660149997115376;0.0;0.0;0.0;0.0;0.4;0.6830074998557688;0.0;0.4;0.6000000000000001;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.4;0.43852901558847923;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.4;0.4;0.0;0.3660149997115376;0.5356143810225276;0.0;0.4;0.48300749985576874;0.43852901558847923;0.8;0.4;0.4;0.3660149997115376;0.0;0.0;0.0;0.8;0.0;0.43852901558847923;0.48300749985576874;0.6000000000000001;1.0;0.0;0.4;0.0;0.48300749985576874;0.6000000000000001;0.4;0.0;0.4;0.4;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.0;0.8;0.8;0.4;0.0;0.43852901558847923;0.0;0.8
GO:0033280;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.6830074998557688;0.0;0.5356143810225276;0.0
GO:0060340;0.3660149997115376;0.4;0.3660149997115376;0.48300749985576874;0.4;0.0;0.3356143810225276;0.5356143810225276;0.3660149997115376;0.0;0.0;0.0;0.0;0.48300749985576874;0.4;0.0;0.3356143810225276;0.4;0.3081136762725405;0.3660149997115376;0.48300749985576874;0.6000000000000001;0.43852901558847923;0.5356143810225276;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.0;0.0;0.3356143810225276;0.0;0.6830074998557688;0.3660149997115376;0.0;0.0;0.4;0.3356143810225276;0.0;0.3081136762725405;0.3356143810225276;0.6000000000000001;0.0;0.3081136762725405;0.43852901558847923;0.0;0.6000000000000001;0.3660149997115376;0.3356143810225276;0.43852901558847923;0.48300749985576874;0.6000000000000001;0.3081136762725405;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.4;0.6000000000000001;0.4;0.0;1.0;0.0;0.4;0.4;0.3081136762725405;0.0;0.4;0.3356143810225276;0.0;0.0;0.0;0.4;0.0;0.4;0.0;0.43852901558847923;0.4;0.3356143810225276;0.0;0.3660149997115376;0.0;0.4
GO:0009615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.6830074998557688;1.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.6830074998557688;0.0;0.6830074998557688;0.43852901558847923;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;1.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.6830074998557688;0.0;0.48300749985576874;0.0
GO:0000079;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.0;0.4;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.3660149997115376;0.48300749985576874;0.4;0.3660149997115376;0.4;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.4;0.48300749985576874;0.4;0.0;0.0;0.5356143810225276;0.0;0.4;0.4;0.0;0.0;0.4;0.3660149997115376;0.0;0.3356143810225276;0.4;0.3660149997115376;0.0;0.43852901558847923;0.4;0.0;0.3660149997115376;0.4;0.8;0.5356143810225276;0.3660149997115376;0.4;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874;0.0;0.4;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.4;0.0;1.0;0.48300749985576874;0.3660149997115376;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.5356143810225276;0.43852901558847923;0.4;0.0;0.43852901558847923;0.0;0.43852901558847923
GO:2000737;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.3660149997115376;0.0;0.48300749985576874;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.0;0.3660149997115376;0.5356143810225276;0.0;0.43852901558847923;0.8;0.3356143810225276;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.6830074998557688;0.5356143810225276;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.4;0.48300749985576874;0.4;0.0;0.0;0.3356143810225276;0.0;0.4;0.48300749985576874;0.0;0.0;0.48300749985576874;0.3660149997115376;0.0;0.3356143810225276;0.48300749985576874;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.0;0.3660149997115376;0.48300749985576874;0.4;0.5356143810225276;0.3660149997115376;0.4;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.0;0.4;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.0;0.4;0.0;0.48300749985576874;1.0;0.43852901558847923;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.0;0.5356143810225276;0.43852901558847923;0.4;0.0;0.5356143810225276;0.0;0.43852901558847923
GO:0010951;0.3356143810225276;0.3660149997115376;0.4;0.3660149997115376;0.2830074998557688;0.0;0.43852901558847923;0.4;0.4;0.0;0.0;0.0;0.0;0.2830074998557688;0.3356143810225276;0.0;0.3356143810225276;0.43852901558847923;0.6830074998557688;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.48300749985576874;0.4;0.0;0.0;0.3660149997115376;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.3081136762725405;0.3660149997115376;0.3081136762725405;0.0;0.0;0.4;0.0;0.3081136762725405;0.3660149997115376;0.0;0.0;0.3660149997115376;0.48300749985576874;0.0;0.3660149997115376;0.8;0.5356143810225276;0.0;0.48300749985576874;0.3081136762725405;0.0;0.2830074998557688;0.3660149997115376;0.43852901558847923;0.4;0.2830074998557688;0.3081136762725405;0.6000000000000001;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.4;0.0;0.3081136762725405;0.0;0.3660149997115376;0.43852901558847923;1.0;0.0;0.2830074998557688;0.3356143810225276;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.0;0.4;0.4;0.4;0.0;0.4;0.0;0.4
GO:0071357;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.5356143810225276;0.4;0.0;0.6000000000000001;0.8;0.8;0.8;0.8;0.3356143810225276;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.48300749985576874;0.8;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.0;1.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.8;0.0;0.6830074998557688;0.8
GO:0045070;0.3660149997115376;0.4;0.3660149997115376;0.4;0.3356143810225276;0.0;0.3356143810225276;0.4;0.3356143810225276;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.6000000000000001;0.3660149997115376;0.3081136762725405;0.3660149997115376;0.43852901558847923;0.5356143810225276;0.4;0.48300749985576874;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.3660149997115376;0.4;0.0;0.0;0.3081136762725405;0.0;0.4;0.5356143810225276;0.0;0.0;0.3660149997115376;0.3356143810225276;0.0;0.3081136762725405;0.3081136762725405;0.3356143810225276;0.0;0.2830074998557688;0.43852901558847923;0.0;0.4;0.3660149997115376;0.3081136762725405;0.4;0.4;0.4;0.2830074998557688;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.3660149997115376;0.4;0.4;0.0;0.4;0.0;0.3660149997115376;0.3660149997115376;0.2830074998557688;0.0;1.0;0.8;0.0;0.0;0.0;0.4;0.0;0.3660149997115376;0.0;0.4;0.4;0.3356143810225276;0.0;0.3356143810225276;0.0;0.4
GO:0045071;0.4;0.4;0.43852901558847923;0.3660149997115376;0.3356143810225276;0.0;0.4;0.4;0.2830074998557688;0.0;0.0;0.0;0.0;0.3356143810225276;0.4;0.0;0.8;0.43852901558847923;0.3081136762725405;0.3081136762725405;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.4;0.0;0.0;0.3081136762725405;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.3660149997115376;0.3356143810225276;0.0;0.0;0.2599120563717816;0.0;0.3356143810225276;0.6830074998557688;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.3081136762725405;0.3660149997115376;0.4;0.0;0.3356143810225276;0.3660149997115376;0.0;0.3356143810225276;0.43852901558847923;0.3081136762725405;0.4;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.0;0.0;0.0;0.4;0.0;0.3660149997115376;0.3660149997115376;0.4;0.4;0.0;0.3356143810225276;0.0;0.3660149997115376;0.43852901558847923;0.3356143810225276;0.0;0.8;1.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.0;0.4;0.4;0.3356143810225276;0.0;0.4;0.0;0.4
GO:0019941;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.5356143810225276;0.0;0.6000000000000001;0.8;0.8;0.8;0.8;0.43852901558847923;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;1.0;0.48300749985576874;0.48300749985576874;0.8;0.8;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8
GO:0035457;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.2599120563717816;0.0;0.3356143810225276;0.0;0.3081136762725405;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.4;0.3660149997115376;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.8;0.0;0.0;0.48300749985576874;1.0;0.8;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.6000000000000001;0.0;0.43852901558847923;0.48300749985576874
GO:0035458;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.2599120563717816;0.0;0.3356143810225276;0.0;0.3081136762725405;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.4;0.3660149997115376;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.8;0.0;0.0;0.48300749985576874;0.8;1.0;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.6000000000000001;0.0;0.43852901558847923;0.48300749985576874
GO:0060333;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.4;0.8;0.4;0.8;0.3356143810225276;0.8;0.0;0.0;0.0;0.4;0.48300749985576874;0.48300749985576874;0.4;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.0;0.8;0.3660149997115376;0.43852901558847923;0.0;0.5356143810225276;0.0;0.6000000000000001;0.8;0.8;0.8;0.8;0.3660149997115376;0.4;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.4;0.0;0.8;0.3081136762725405;0.0;0.4;0.43852901558847923;0.8;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.3660149997115376;0.4;0.0;0.3356143810225276;0.43852901558847923;0.0;0.4;0.43852901558847923;0.43852901558847923;0.8;0.4;0.4;0.3356143810225276;0.0;0.6000000000000001;0.5356143810225276;0.8;0.0;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.8;0.0;0.4;0.0;0.43852901558847923;0.43852901558847923;0.4;0.8;0.4;0.4;0.8;0.48300749985576874;0.48300749985576874;1.0;0.8;0.43852901558847923;0.0;0.8;0.8;0.4;0.8;0.4;0.0;0.8
GO:0006351;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.8;0.8;0.8;0.8;0.4;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688;0.48300749985576874;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.43852901558847923;0.43852901558847923;0.8;1.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8
